2025-09-21 19:01:27,835 - INFO] Time 0.070 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 23.539 (25.388) | MSSSIM 0.769 (0.825) | Lr 0.0001
2025-09-21 19:01:27,978 - INFO] Time 0.071 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 28.111 (25.570) | MSSSIM 0.908 (0.830) | Lr 0.0001
2025-09-21 19:01:28,119 - INFO] Time 0.070 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 28.140 (25.731) | MSSSIM 0.858 (0.832) | Lr 0.0001
2025-09-21 19:01:28,297 - INFO] Time 0.106 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 26.849 (25.796) | MSSSIM 0.882 (0.835) | Lr 0.0001
2025-09-21 19:01:28,439 - INFO] Time 0.071 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 23.514 (25.670) | MSSSIM 0.762 (0.831) | Lr 0.0001
2025-09-21 19:01:28,582 - INFO] Time 0.071 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 25.717 (25.672) | MSSSIM 0.854 (0.832) | Lr 0.0001
2025-09-21 19:01:28,759 - INFO] Time 0.106 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 27.621 (25.769) | MSSSIM 0.923 (0.836) | Lr 0.0001
2025-09-21 19:01:28,902 - INFO] Time 0.071 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 24.214 (25.695) | MSSSIM 0.855 (0.837) | Lr 0.0001
2025-09-21 19:01:29,045 - INFO] Time 0.070 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 26.117 (25.715) | MSSSIM 0.790 (0.835) | Lr 0.0001
2025-09-21 19:01:29,187 - INFO] Time 0.070 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 29.379 (25.874) | MSSSIM 0.921 (0.839) | Lr 0.0001
2025-09-21 19:01:29,331 - INFO] Time 0.071 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 22.969 (25.753) | MSSSIM 0.779 (0.836) | Lr 0.0001
2025-09-21 19:01:29,473 - INFO] Time 0.070 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 23.342 (23.342) | MSSSIM 0.778 (0.778) | Lr 0.0001
2025-09-21 19:01:29,615 - INFO] Time 0.071 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 28.931 (26.137) | MSSSIM 0.865 (0.821) | Lr 0.0001
2025-09-21 19:01:29,757 - INFO] Time 0.071 | CBR 0.0625 (0.0625) | SNR 1.0 | PSNR 30.475 (27.583) | MSSSIM 0.936 (0.860) | Lr 0.0001
